,state,year,month,tavg,tmax,tmin,pcp,cdd,hdd,pdsi,phdi,pmdi,zndx,all_cause,natural_cause,septicemia_a40_a41,malignant_neoplasms_c00_c97,diabetes_mellitus_e10_e14,alzheimer_disease_g30,influenza_and_pneumonia_j09_j18,chronic_lower_respiratory,other_diseases_of_respiratory,nephritis_nephrotic_syndrome,symptoms_signs_and_abnormal,diseases_of_heart_i00_i09,cerebrovascular_diseases,covid_19_u071_multiple_cause_of_death,covid_19_u071_underlying_cause_of_death
0,Alabama,2020,01,49.5,59.8,39.2,7.44,21.0,524.0,1.7,1.7,1.7,1.89,4304.0,4027.0,84.0,784.0,89.0,202.0,115.0,292.0,65.0,85.0,106.0,1065.0,264.0,0.0,0.0
1,Alabama,2020,02,51.0,61.2,40.7,10.37,9.0,429.0,2.99,2.99,2.99,4.38,5503.0,5108.0,95.0,975.0,121.0,262.0,149.0,373.0,92.0,95.0,115.0,1403.0,322.0,0.0,0.0
2,Alabama,2020,03,63.5,73.9,53.2,6.18,90.0,173.0,2.34,2.34,1.86,-1.02,4280.0,3941.0,66.0,758.0,104.0,243.0,116.0,277.0,100.0,87.0,79.0,1037.0,267.0,23.0,20.0
3,Alabama,2020,04,62.0,74.6,49.4,7.1,37.0,155.0,2.71,2.71,2.71,1.84,4579.0,4223.0,92.0,751.0,128.0,254.0,83.0,247.0,77.0,73.0,84.0,1036.0,257.0,304.0,285.0
4,Alabama,2020,05,68.9,80.8,57.0,3.64,142.0,42.0,2.36,2.36,2.2,-0.22,5728.0,5235.0,98.0,954.0,130.0,264.0,92.0,301.0,83.0,96.0,102.0,1358.0,265.0,478.0,446.0
5,Alabama,2020,06,76.9,87.1,66.7,5.16,343.0,0.0,2.51,2.51,2.51,1.19,4552.0,4173.0,82.0,808.0,88.0,209.0,55.0,244.0,67.0,73.0,77.0,1093.0,235.0,363.0,337.0
6,Alabama,2020,07,80.9,90.7,71.0,5.3,480.0,0.0,2.23,2.23,2.13,-0.07,5088.0,4747.0,75.0,853.0,113.0,254.0,64.0,264.0,41.0,76.0,94.0,1159.0,265.0,703.0,654.0
7,Alabama,2020,08,80.2,90.1,70.4,5.78,457.0,0.0,2.52,2.52,2.52,1.57,6567.0,6112.0,65.0,925.0,127.0,265.0,100.0,338.0,88.0,93.0,114.0,1434.0,345.0,1151.0,1077.0
8,Alabama,2020,09,74.3,83.5,65.0,6.0,265.0,6.0,3.05,3.05,3.05,2.36,4831.0,4521.0,78.0,839.0,107.0,248.0,63.0,255.0,64.0,73.0,70.0,1071.0,229.0,538.0,506.0
9,Alabama,2020,10,66.9,78.0,55.8,5.11,116.0,81.0,3.6,3.6,3.6,2.6,5808.0,5393.0,89.0,955.0,123.0,281.0,93.0,278.0,89.0,93.0,83.0,1376.0,284.0,624.0,569.0
10,Alabama,2020,11,58.4,70.4,46.4,2.75,27.0,250.0,2.87,2.87,2.39,-1.08,5147.0,4782.0,66.0,825.0,109.0,244.0,61.0,238.0,64.0,101.0,88.0,1143.0,238.0,697.0,647.0
11,Alabama,2020,12,45.9,58.0,33.8,3.84,2.0,619.0,2.29,2.29,1.43,-0.85,6163.0,5807.0,87.0,795.0,156.0,290.0,83.0,257.0,93.0,89.0,101.0,1238.0,266.0,1471.0,1386.0
12,Alabama,2021,01,46.6,56.5,36.8,3.72,13.0,612.0,1.62,1.62,0.22,-1.33,8878.0,8403.0,95.0,1036.0,193.0,342.0,104.0,351.0,124.0,130.0,141.0,1656.0,334.0,2725.0,2587.0
13,Alabama,2021,02,46.7,57.6,35.8,4.22,3.0,546.0,1.19,1.19,-0.46,-0.77,5588.0,5219.0,94.0,794.0,113.0,251.0,80.0,239.0,87.0,73.0,81.0,1268.0,276.0,996.0,926.0
14,Alabama,2021,03,59.6,71.5,47.8,8.05,48.0,240.0,1.38,1.38,0.11,0.93,4602.0,4193.0,86.0,700.0,104.0,203.0,83.0,215.0,82.0,93.0,83.0,1065.0,253.0,373.0,326.0
15,Alabama,2021,04,61.6,74.6,48.6,5.55,30.0,153.0,1.45,1.45,0.4,0.63,4594.0,4179.0,91.0,827.0,128.0,181.0,80.0,229.0,81.0,72.0,81.0,1078.0,240.0,208.0,182.0
16,Alabama,2021,05,69.4,81.0,57.8,4.69,151.0,36.0,1.55,1.55,0.74,0.75,5618.0,5130.0,102.0,998.0,129.0,257.0,80.0,320.0,104.0,110.0,91.0,1405.0,279.0,242.0,211.0
17,Alabama,2021,06,76.9,86.7,67.2,8.73,340.0,0.0,2.99,2.99,2.99,4.8,4406.0,3995.0,87.0,764.0,112.0,172.0,75.0,250.0,72.0,86.0,67.0,1115.0,255.0,130.0,107.0
18,Alabama,2021,07,79.4,88.5,70.2,7.49,431.0,0.0,3.52,3.52,3.52,2.52,5525.0,5009.0,119.0,970.0,146.0,232.0,80.0,282.0,75.0,104.0,99.0,1330.0,275.0,274.0,254.0
19,Alabama,2021,08,79.9,89.3,70.6,7.43,448.0,0.0,4.46,4.46,4.46,3.91,5967.0,5599.0,81.0,812.0,152.0,195.0,61.0,266.0,65.0,80.0,94.0,1223.0,269.0,1468.0,1401.0
20,Alabama,2021,09,74.0,83.7,64.2,4.83,258.0,7.0,4.58,4.58,4.58,1.74,6393.0,5978.0,81.0,760.0,124.0,213.0,91.0,231.0,66.0,96.0,90.0,1190.0,263.0,1929.0,1856.0
21,Alabama,2021,10,67.4,77.8,57.0,4.6,128.0,70.0,4.86,4.86,4.86,2.25,6477.0,5962.0,108.0,989.0,153.0,231.0,95.0,292.0,83.0,100.0,116.0,1343.0,295.0,1098.0,1034.0
22,Alabama,2021,11,52.2,65.6,38.8,1.19,4.0,410.0,3.7,3.7,2.9,-1.97,4668.0,4341.0,94.0,802.0,146.0,206.0,75.0,269.0,77.0,85.0,87.0,1051.0,259.0,281.0,248.0
23,Alabama,2021,12,56.9,67.8,45.9,4.65,37.0,312.0,3.01,3.01,1.83,-0.93,4796.0,4412.0,97.0,760.0,125.0,205.0,80.0,253.0,68.0,96.0,73.0,1202.0,254.0,270.0,240.0
24,Alabama,2022,01,43.9,55.8,32.0,4.83,6.0,690.0,2.65,2.65,1.39,-0.16,7297.0,6853.0,130.0,1043.0,193.0,340.0,122.0,372.0,106.0,129.0,94.0,1624.0,370.0,1196.0,1024.0
25,Alabama,2022,02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6084.0,5676.0,82.0,848.0,166.0,257.0,72.0,269.0,95.0,117.0,84.0,1279.0,267.0,1327.0,1169.0
26,Alabama,2022,03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600.0,4218.0,81.0,725.0,122.0,172.0,61.0,264.0,74.0,104.0,47.0,1125.0,222.0,394.0,317.0
27,Alabama,2022,04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5292.0,4829.0,107.0,890.0,164.0,207.0,83.0,278.0,111.0,136.0,90.0,1339.0,305.0,119.0,57.0
28,Alabama,2022,05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4156.0,3736.0,97.0,773.0,98.0,158.0,62.0,203.0,73.0,95.0,63.0,1022.0,220.0,56.0,16.0
29,Alabama,2022,06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4252.0,3869.0,90.0,765.0,121.0,215.0,44.0,199.0,81.0,89.0,75.0,1038.0,232.0,90.0,65.0
30,Alabama,2022,07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5462.0,4990.0,111.0,950.0,134.0,243.0,52.0,265.0,105.0,115.0,122.0,1367.0,286.0,270.0,207.0
31,Alabama,2022,08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4343.0,3990.0,59.0,754.0,106.0,193.0,36.0,220.0,87.0,84.0,133.0,1028.0,218.0,240.0,181.0
32,Alabama,2022,09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4305.0,3970.0,93.0,752.0,109.0,185.0,57.0,201.0,55.0,105.0,127.0,1036.0,240.0,188.0,138.0
33,Alabama,2022,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5368.0,5066.0,96.0,984.0,109.0,231.0,90.0,298.0,105.0,132.0,204.0,1357.0,315.0,114.0,85.0
34,Alabama,2022,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.0,3212.0,64.0,596.0,79.0,155.0,67.0,209.0,80.0,57.0,100.0,870.0,184.0,68.0,40.0
35,Alabama,2022,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Arizona,2020,01,43.7,56.7,30.7,0.45,0.0,454.0,1.2,1.2,0.6,-1.08,5282.0,4762.0,10.0,1031.0,203.0,256.0,123.0,327.0,92.0,70.0,71.0,1170.0,243.0,0.0,0.0
37,Arizona,2020,02,45.9,59.8,32.0,1.1,6.0,362.0,1.15,1.15,0.6,0.21,6538.0,5840.0,0.0,1268.0,244.0,311.0,161.0,408.0,97.0,70.0,105.0,1425.0,334.0,0.0,0.0
38,Arizona,2020,03,51.0,63.2,38.8,2.38,25.0,265.0,1.87,1.87,1.87,2.52,5343.0,4807.0,12.0,1035.0,186.0,260.0,134.0,341.0,107.0,66.0,81.0,1143.0,271.0,31.0,29.0
39,Arizona,2020,04,59.3,74.6,44.0,0.36,120.0,95.0,1.83,1.83,1.83,0.47,5460.0,4967.0,21.0,1022.0,176.0,269.0,91.0,301.0,91.0,68.0,64.0,1042.0,237.0,351.0,329.0
40,Arizona,2020,05,70.5,87.5,53.5,0.11,397.0,10.0,2.06,2.06,2.06,1.24,6736.0,6020.0,20.0,1208.0,245.0,304.0,89.0,350.0,102.0,80.0,97.0,1311.0,315.0,565.0,519.0
41,Arizona,2020,06,76.8,93.5,60.0,0.04,551.0,1.0,-0.15,1.7,1.43,-0.44,6029.0,5358.0,35.0,1024.0,187.0,272.0,57.0,285.0,95.0,61.0,67.0,1101.0,241.0,770.0,713.0
42,Arizona,2020,07,82.8,97.8,67.8,0.71,764.0,0.0,-1.21,-1.21,-1.21,-3.23,7586.0,6796.0,12.0,997.0,225.0,317.0,100.0,281.0,112.0,54.0,98.0,1217.0,244.0,1921.0,1797.0
43,Arizona,2020,08,84.1,99.4,68.8,0.6,794.0,0.0,-2.57,-2.57,-2.57,-4.46,7876.0,6887.0,13.0,1253.0,276.0,301.0,92.0,330.0,95.0,58.0,131.0,1332.0,313.0,1247.0,1141.0
44,Arizona,2020,09,75.6,91.8,59.3,0.11,538.0,2.0,-3.39,-3.39,-3.39,-3.25,5122.0,4526.0,21.0,951.0,179.0,214.0,51.0,229.0,62.0,58.0,80.0,1040.0,223.0,279.0,235.0
45,Arizona,2020,10,66.2,83.5,48.8,0.14,277.0,21.0,-3.91,-3.91,-3.91,-2.62,6273.0,5539.0,19.0,1144.0,198.0,251.0,60.0,304.0,90.0,78.0,96.0,1269.0,304.0,280.0,244.0
46,Arizona,2020,11,53.5,68.2,38.8,0.27,48.0,174.0,-4.15,-4.15,-4.15,-1.92,5707.0,5173.0,12.0,948.0,176.0,235.0,60.0,238.0,67.0,44.0,73.0,1117.0,225.0,759.0,683.0
47,Arizona,2020,12,42.0,56.2,27.7,0.29,0.0,481.0,-4.33,-4.33,-4.33,-1.82,8003.0,7474.0,10.0,982.0,247.0,269.0,106.0,318.0,97.0,62.0,95.0,1216.0,288.0,2489.0,2303.0
48,Arizona,2021,01,42.7,55.9,29.5,1.31,0.0,467.0,-3.93,-3.93,-3.92,-0.12,11681.0,10913.0,48.0,1269.0,315.0,336.0,130.0,374.0,142.0,96.0,114.0,1686.0,330.0,4556.0,4258.0
49,Arizona,2021,02,46.5,60.6,32.4,0.23,10.0,327.0,-4.24,-4.24,-4.24,-2.15,6803.0,6213.0,35.0,972.0,179.0,201.0,64.0,267.0,92.0,68.0,70.0,1136.0,234.0,1740.0,1589.0
50,Arizona,2021,03,49.5,63.6,35.3,0.73,22.0,283.0,-4.15,-4.15,-4.15,-1.03,5586.0,5013.0,35.0,990.0,207.0,205.0,56.0,282.0,65.0,60.0,71.0,1147.0,275.0,510.0,417.0
51,Arizona,2021,04,61.2,76.9,45.6,0.19,164.0,68.0,-4.69,-4.69,-4.69,-2.92,5189.0,4570.0,24.0,1042.0,184.0,187.0,54.0,239.0,81.0,72.0,40.0,1037.0,261.0,220.0,185.0
52,Arizona,2021,05,68.0,84.6,51.2,0.04,309.0,16.0,-5.22,-5.22,-5.22,-3.02,6523.0,5701.0,20.0,1197.0,212.0,259.0,76.0,318.0,89.0,83.0,46.0,1349.0,275.0,276.0,234.0
53,Arizona,2021,06,80.6,96.9,64.4,0.22,654.0,0.0,-5.61,-5.61,-5.61,-2.79,5381.0,4595.0,10.0,984.0,178.0,177.0,50.0,284.0,81.0,50.0,66.0,1048.0,244.0,166.0,135.0
54,Arizona,2021,07,81.4,94.2,68.7,3.82,662.0,0.0,-3.42,-3.42,-1.57,4.84,6549.0,5618.0,44.0,1233.0,212.0,204.0,70.0,293.0,91.0,61.0,85.0,1293.0,289.0,318.0,285.0
55,Arizona,2021,08,79.4,92.7,66.2,2.18,617.0,0.0,-3.15,-3.15,-1.41,-0.24,6066.0,5313.0,11.0,1037.0,178.0,197.0,64.0,268.0,79.0,59.0,93.0,1073.0,277.0,683.0,640.0
56,Arizona,2021,09,74.8,88.7,60.8,1.29,480.0,1.0,-2.88,-2.88,-1.21,-0.16,6435.0,5741.0,43.0,1003.0,191.0,245.0,74.0,268.0,85.0,66.0,84.0,1122.0,238.0,1107.0,1036.0
57,Arizona,2021,10,59.9,74.4,45.5,0.74,134.0,70.0,-2.68,-2.68,-1.14,-0.31,7796.0,7030.0,21.0,1235.0,257.0,268.0,97.0,359.0,102.0,65.0,80.0,1333.0,297.0,1290.0,1203.0
58,Arizona,2021,11,55.8,70.9,40.6,0.05,72.0,136.0,-3.33,-3.33,-2.67,-2.79,6854.0,6252.0,29.0,962.0,195.0,239.0,90.0,303.0,79.0,81.0,63.0,1241.0,280.0,1451.0,1345.0
59,Arizona,2021,12,45.6,57.5,33.6,1.77,0.0,386.0,-2.78,-2.78,-1.89,0.62,7667.0,7022.0,55.0,1006.0,243.0,235.0,110.0,292.0,106.0,75.0,71.0,1241.0,290.0,1976.0,1857.0
60,Arizona,2022,01,43.7,57.4,30.1,0.3,4.0,443.0,-3.12,-3.12,-2.72,-1.88,9622.0,8861.0,74.0,1273.0,292.0,320.0,133.0,393.0,128.0,124.0,128.0,1625.0,368.0,2321.0,2105.0
61,Arizona,2022,02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6971.0,6344.0,34.0,1014.0,230.0,216.0,87.0,331.0,101.0,65.0,75.0,1225.0,268.0,1451.0,1231.0
62,Arizona,2022,03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5852.0,5212.0,53.0,1089.0,201.0,185.0,56.0,282.0,94.0,75.0,62.0,1153.0,273.0,475.0,357.0
63,Arizona,2022,04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6587.0,5807.0,27.0,1285.0,209.0,257.0,83.0,308.0,108.0,65.0,80.0,1336.0,331.0,150.0,97.0
64,Arizona,2022,05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5271.0,4637.0,0.0,999.0,181.0,211.0,79.0,258.0,94.0,68.0,72.0,1060.0,234.0,114.0,66.0
65,Arizona,2022,06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5282.0,4574.0,11.0,976.0,178.0,209.0,68.0,229.0,79.0,57.0,78.0,1089.0,232.0,195.0,138.0
66,Arizona,2022,07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6839.0,5741.0,33.0,1240.0,212.0,248.0,49.0,286.0,94.0,70.0,79.0,1376.0,311.0,292.0,202.0
67,Arizona,2022,08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5161.0,4469.0,0.0,989.0,163.0,202.0,65.0,233.0,69.0,47.0,96.0,1061.0,228.0,179.0,105.0
68,Arizona,2022,09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5134.0,4563.0,13.0,988.0,145.0,206.0,33.0,265.0,84.0,53.0,200.0,1036.0,221.0,152.0,101.0
69,Arizona,2022,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6331.0,5809.0,22.0,1245.0,193.0,277.0,68.0,306.0,76.0,54.0,427.0,1293.0,303.0,145.0,92.0
70,Arizona,2022,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4748.0,4621.0,0.0,942.0,170.0,226.0,60.0,275.0,70.0,53.0,385.0,948.0,266.0,194.0,133.0
71,Arizona,2022,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Arkansas,2020,01,43.9,52.6,35.3,6.15,1.0,676.0,3.69,3.69,3.57,1.71,2632.0,2445.0,38.0,512.0,94.0,136.0,76.0,224.0,14.0,28.0,0.0,667.0,113.0,0.0,0.0
73,Arkansas,2020,02,44.5,53.6,35.4,5.79,0.0,594.0,3.85,3.85,3.85,1.6,3395.0,3159.0,40.0,654.0,121.0,205.0,81.0,264.0,45.0,83.0,0.0,833.0,144.0,0.0,0.0
74,Arkansas,2020,03,56.5,65.9,47.1,7.39,32.0,315.0,4.01,4.01,4.01,1.69,2606.0,2387.0,24.0,493.0,81.0,134.0,79.0,203.0,23.0,62.0,0.0,603.0,118.0,0.0,0.0
75,Arkansas,2020,04,58.8,69.8,47.8,6.11,16.0,217.0,4.05,4.05,4.05,1.34,2494.0,2284.0,0.0,462.0,74.0,129.0,60.0,185.0,0.0,64.0,0.0,585.0,112.0,51.0,46.0
76,Arkansas,2020,05,66.8,77.2,56.4,6.94,102.0,65.0,4.17,4.17,4.17,1.63,3126.0,2857.0,0.0,584.0,130.0,165.0,35.0,229.0,23.0,72.0,0.0,740.0,156.0,85.0,67.0
77,Arkansas,2020,06,76.4,86.8,66.1,4.67,335.0,1.0,3.99,3.99,3.99,0.75,2672.0,2399.0,13.0,463.0,99.0,118.0,26.0,175.0,0.0,59.0,0.0,647.0,132.0,152.0,125.0
78,Arkansas,2020,07,81.3,90.8,71.9,3.64,499.0,0.0,3.66,3.66,3.66,0.23,2757.0,2505.0,25.0,494.0,108.0,104.0,22.0,163.0,29.0,42.0,0.0,646.0,120.0,219.0,198.0
79,Arkansas,2020,08,77.8,88.1,67.5,6.74,391.0,2.0,4.58,4.58,4.58,3.88,3741.0,3457.0,62.0,611.0,124.0,174.0,53.0,214.0,26.0,46.0,0.0,875.0,167.0,465.0,406.0
80,Arkansas,2020,09,71.8,81.0,62.6,5.65,211.0,20.0,4.94,4.94,4.94,2.51,2917.0,2701.0,14.0,527.0,100.0,121.0,50.0,164.0,14.0,55.0,0.0,678.0,121.0,368.0,314.0
81,Arkansas,2020,10,59.4,70.5,48.4,4.42,25.0,210.0,5.04,5.04,5.04,1.82,3931.0,3648.0,18.0,587.0,149.0,171.0,38.0,216.0,24.0,43.0,0.0,827.0,160.0,698.0,606.0
82,Arkansas,2020,11,54.0,66.2,41.9,1.94,7.0,351.0,4.0,4.0,3.36,-1.56,3447.0,3241.0,22.0,516.0,119.0,164.0,52.0,181.0,42.0,40.0,0.0,664.0,144.0,775.0,672.0
83,Arkansas,2020,12,42.6,53.5,31.8,4.38,0.0,709.0,3.65,3.65,3.04,0.2,3714.0,3515.0,38.0,486.0,111.0,149.0,36.0,196.0,12.0,50.0,10.0,746.0,153.0,1003.0,910.0
84,Arkansas,2021,01,41.3,50.1,32.6,4.13,0.0,751.0,3.34,3.34,2.74,0.18,4751.0,4490.0,36.0,641.0,166.0,198.0,58.0,258.0,23.0,75.0,0.0,858.0,182.0,1362.0,1221.0
85,Arkansas,2021,02,34.8,43.7,25.9,3.39,0.0,865.0,2.92,2.92,2.2,-0.22,3229.0,2998.0,54.0,466.0,123.0,140.0,52.0,196.0,21.0,42.0,0.0,705.0,158.0,492.0,428.0
86,Arkansas,2021,03,55.2,67.2,43.2,6.15,25.0,348.0,2.86,2.86,2.35,0.72,2804.0,2569.0,38.0,496.0,119.0,105.0,0.0,166.0,0.0,48.0,0.0,637.0,150.0,203.0,166.0
87,Arkansas,2021,04,58.4,70.0,46.7,5.55,13.0,229.0,2.86,2.86,2.61,0.91,2564.0,2309.0,53.0,476.0,106.0,101.0,0.0,139.0,24.0,68.0,0.0,596.0,151.0,80.0,62.0
88,Arkansas,2021,05,66.7,77.0,56.5,6.76,101.0,64.0,3.07,3.07,3.07,1.5,3360.0,3047.0,25.0,619.0,137.0,142.0,24.0,213.0,31.0,61.0,0.0,768.0,165.0,106.0,84.0
89,Arkansas,2021,06,76.9,86.6,67.1,4.87,346.0,1.0,3.04,3.04,3.04,0.87,2684.0,2425.0,24.0,501.0,91.0,96.0,12.0,171.0,11.0,68.0,0.0,625.0,131.0,108.0,92.0
90,Arkansas,2021,07,79.4,89.4,69.3,4.71,435.0,0.0,3.32,3.32,3.32,1.76,3663.0,3386.0,68.0,630.0,127.0,129.0,42.0,240.0,0.0,76.0,0.0,777.0,158.0,440.0,396.0
91,Arkansas,2021,08,80.7,90.7,70.7,3.02,481.0,0.0,3.11,3.11,3.11,0.41,3559.0,3332.0,13.0,522.0,130.0,138.0,23.0,185.0,11.0,37.0,10.0,684.0,121.0,873.0,804.0
92,Arkansas,2021,09,74.3,86.5,62.1,1.87,286.0,8.0,-0.58,2.22,1.45,-1.73,3383.0,3127.0,31.0,527.0,124.0,119.0,35.0,147.0,14.0,54.0,0.0,636.0,117.0,749.0,699.0
93,Arkansas,2021,10,65.5,76.7,54.3,4.23,93.0,93.0,-0.47,2.04,1.29,0.14,3873.0,3585.0,70.0,640.0,131.0,154.0,47.0,241.0,23.0,85.0,0.0,807.0,162.0,513.0,476.0
94,Arkansas,2021,11,49.4,61.8,37.0,2.12,0.0,477.0,-1.06,1.18,-0.33,-1.92,2972.0,2734.0,37.0,467.0,100.0,113.0,49.0,203.0,21.0,55.0,0.0,687.0,139.0,209.0,183.0
95,Arkansas,2021,12,53.4,64.0,42.8,3.48,16.0,393.0,-1.55,-1.55,-1.55,-1.8,3181.0,2917.0,23.0,512.0,115.0,123.0,52.0,218.0,21.0,70.0,10.0,693.0,158.0,327.0,301.0
96,Arkansas,2022,01,38.7,50.8,26.6,3.4,0.0,835.0,-1.53,-1.53,-1.53,-0.41,4396.0,4127.0,56.0,608.0,181.0,167.0,73.0,277.0,32.0,94.0,0.0,977.0,193.0,810.0,703.0
97,Arkansas,2022,02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3625.0,3389.0,47.0,522.0,125.0,143.0,57.0,213.0,20.0,75.0,0.0,709.0,137.0,835.0,711.0
98,Arkansas,2022,03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2908.0,2673.0,44.0,504.0,133.0,145.0,40.0,180.0,36.0,53.0,0.0,631.0,133.0,221.0,158.0
99,Arkansas,2022,04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3262.0,2983.0,50.0,610.0,124.0,160.0,45.0,208.0,23.0,83.0,0.0,762.0,164.0,68.0,24.0
100,Arkansas,2022,05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2651.0,2397.0,36.0,484.0,106.0,109.0,22.0,172.0,21.0,64.0,0.0,642.0,121.0,37.0,11.0
101,Arkansas,2022,06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2664.0,2436.0,27.0,500.0,101.0,116.0,40.0,182.0,13.0,73.0,0.0,615.0,139.0,57.0,10.0
102,Arkansas,2022,07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3309.0,3008.0,47.0,597.0,138.0,138.0,12.0,207.0,68.0,58.0,0.0,753.0,168.0,156.0,93.0
103,Arkansas,2022,08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2618.0,2381.0,35.0,513.0,85.0,107.0,21.0,161.0,21.0,59.0,37.0,546.0,112.0,161.0,118.0
104,Arkansas,2022,09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2673.0,2476.0,39.0,500.0,82.0,98.0,23.0,160.0,13.0,70.0,49.0,636.0,135.0,131.0,82.0
105,Arkansas,2022,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3451.0,3255.0,56.0,648.0,134.0,135.0,33.0,243.0,17.0,72.0,138.0,777.0,149.0,123.0,57.0
106,Arkansas,2022,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2372.0,2309.0,38.0,493.0,82.0,124.0,53.0,163.0,36.0,41.0,73.0,580.0,104.0,63.0,25.0
107,Arkansas,2022,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,California,2020,01,0.0,55.1,35.6,2.06,0.0,495.0,-1.6,-1.6,-1.6,-2.38,23423.0,21618.0,149.0,4686.0,918.0,1492.0,760.0,1151.0,327.0,384.0,92.0,5536.0,1514.0,0.0,0.0
109,California,2020,02,0.0,62.1,36.3,0.21,0.0,366.0,-2.72,-2.72,-2.72,-3.87,28664.0,26475.0,179.0,5874.0,1057.0,1817.0,920.0,1537.0,340.0,497.0,91.0,6751.0,1677.0,0.0,0.0
110,California,2020,03,0.0,58.3,37.7,3.19,0.0,469.0,-2.45,-2.45,-2.4,-0.03,22571.0,20866.0,137.0,4716.0,837.0,1403.0,754.0,1165.0,266.0,351.0,78.0,5155.0,1355.0,176.0,169.0
111,California,2020,04,0.0,68.6,44.5,1.99,13.0,258.0,-2.14,-2.14,-1.95,0.19,24102.0,22348.0,135.0,4590.0,919.0,1493.0,545.0,1128.0,230.0,361.0,86.0,5197.0,1413.0,1741.0,1682.0
112,California,2020,05,0.0,78.4,50.9,1.2,74.0,102.0,-1.65,-1.65,-1.05,0.81,28233.0,25904.0,150.0,5554.0,1009.0,1701.0,439.0,1225.0,246.0,351.0,104.0,6133.0,1560.0,2552.0,2439.0
113,California,2020,06,0.0,84.9,56.0,0.16,130.0,33.0,-1.44,-1.44,-0.76,0.11,22278.0,20274.0,118.0,4378.0,807.0,1316.0,344.0,846.0,190.0,284.0,102.0,4746.0,1305.0,1850.0,1714.0
114,California,2020,07,0.0,92.0,61.1,0.05,250.0,1.0,-1.57,-1.57,-1.19,-0.85,24423.0,22250.0,100.0,4452.0,898.0,1335.0,374.0,903.0,182.0,324.0,115.0,4882.0,1286.0,3290.0,3049.0
115,California,2020,08,0.0,93.6,64.2,0.1,355.0,0.0,-1.83,-1.83,-1.83,-1.24,31295.0,28396.0,163.0,5745.0,1038.0,1759.0,415.0,1121.0,232.0,419.0,114.0,6161.0,1693.0,4444.0,4124.0
116,California,2020,09,0.0,88.8,59.1,0.04,259.0,2.0,-2.21,-2.21,-2.21,-1.71,22976.0,20781.0,104.0,4554.0,820.0,1345.0,329.0,820.0,179.0,278.0,85.0,4687.0,1312.0,2079.0,1878.0
